"id","device_type_id","block_name","file_name","create_date","update_date","use_controller","deletable","discriminator_type"
"1","10","カテゴリ","category","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"2","10","カゴの中","cart","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"3","10","商品検索","search_product","2017-03-07 10:14:52","2017-03-07 10:14:52","1","0","block"
"4","10","新着情報","news","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"5","10","ログインナビ","login","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"6","10","ロゴ","logo","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"7","10","フッター","footer","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"8","10","新着商品","new_product","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"12","10","ヘッダー(ロゴ・カート)","header","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"14","10","新入荷商品特集","special_collection","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"15","10","TOPICS","topics","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"16","10","CATEGORY","category_top","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"17","10","カテゴリ(SP)","category_sp","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"18","10","ログインナビ(SP)","login_sp","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
