"page_id","section","block_id","layout_id","block_row","anywhere","discriminator_type"
"1","3","12","1","1","1","blockposition"
"1","3","13","1","2","1","blockposition"
"1","3","1","1","3","1","blockposition"
"1","7","8","1","1","0","blockposition"
"1","7","11","1","2","0","blockposition"
"1","7","10","1","3","0","blockposition"
"1","10","7","1","1","1","blockposition"
"1","3","6","3","1","1","blockposition"
"1","10","7","3","1","1","blockposition"
"1","3","12","2","1","1","blockposition"
"1","3","13","2","2","1","blockposition"
"1","3","1","2","3","1","blockposition"
"1","10","7","2","1","1","blockposition"
