page_id,layout_id,discriminator_type
"0","1","pagelayout"
"1","1","pagelayout"
"1","2","pagelayout"
"2","3","pagelayout"
"3","3","pagelayout"
"4","3","pagelayout"
"5","3","pagelayout"
"6","3","pagelayout"
"9","3","pagelayout"
"10","3","pagelayout"
"11","3","pagelayout"
"12","3","pagelayout"
"14","3","pagelayout"
"13","3","pagelayout"
"15","3","pagelayout"
"16","3","pagelayout"
"17","3","pagelayout"
"18","3","pagelayout"
"20","3","pagelayout"
"21","3","pagelayout"
"22","3","pagelayout"
"24","3","pagelayout"
"28","3","pagelayout"
"29","3","pagelayout"
"30","3","pagelayout"
"31","3","pagelayout"
"32","3","pagelayout"
"33","3","pagelayout"
"34","3","pagelayout"
"35","3","pagelayout"
"36","3","pagelayout"
"37","3","pagelayout"
"19","3","pagelayout"
"25","3","pagelayout"
"23","3","pagelayout"
"7","3","pagelayout"
"8","3","pagelayout"
"42","3","pagelayout"
"38","3","pagelayout"
"44","3","pagelayout"
