id,csv_type_id,creator_id,entity_name,field_name,reference_field_name,disp_name,sort_no,enabled,create_date,update_date,discriminator_type
1,1,,Eccube\\Entity\\Product,id,,Product ID,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
2,1,,Eccube\\Entity\\Product,Status,id,Display Status (ID),2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
3,1,,Eccube\\Entity\\Product,Status,name,Display Status (Name),3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
4,1,,Eccube\\Entity\\Product,name,,Product Name,4,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
5,1,,Eccube\\Entity\\Product,note,,Store Staff Notes,5,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
6,1,,Eccube\\Entity\\Product,description_list,,Product Descriptions (All),6,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
7,1,,Eccube\\Entity\\Product,description_detail,,Product Descriptions (Details),7,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
8,1,,Eccube\\Entity\\Product,search_word,,Search Words,8,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
9,1,,Eccube\\Entity\\Product,free_area,,Miscellaneous,9,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
10,1,,Eccube\\Entity\\ProductClass,id,,Product Option ID,10,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
11,1,,Eccube\\Entity\\ProductClass,SaleType,id,Sales Type (ID),11,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
12,1,,Eccube\\Entity\\ProductClass,SaleType,name,Sales Type (Name),12,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
13,1,,Eccube\\Entity\\ProductClass,ClassCategory1,id,Option Group 1 (ID),13,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
14,1,,Eccube\\Entity\\ProductClass,ClassCategory1,name,Option Group 1 (Name),14,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
15,1,,Eccube\\Entity\\ProductClass,ClassCategory2,id,Option Group 2 (ID),15,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
16,1,,Eccube\\Entity\\ProductClass,ClassCategory2,name,Option Group 2 (Name),16,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
17,1,,Eccube\\Entity\\ProductClass,DeliveryDuration,id,Estimated Shipping Date (ID),17,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
18,1,,Eccube\\Entity\\ProductClass,DeliveryDuration,name,Estimated Shipping Date (Name),18,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
19,1,,Eccube\\Entity\\ProductClass,code,,Product Code,19,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
20,1,,Eccube\\Entity\\ProductClass,stock,,Stock Qty,20,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
21,1,,Eccube\\Entity\\ProductClass,stock_unlimited,,Unlimited Stock Flag,21,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
22,1,,Eccube\\Entity\\ProductClass,sale_limit,,Max Sales Qty,22,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
23,1,,Eccube\\Entity\\ProductClass,price01,,Regular Price,23,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
24,1,,Eccube\\Entity\\ProductClass,price02,,Selling Price,24,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
25,1,,Eccube\\Entity\\ProductClass,delivery_fee,,Shipping Charge,25,0,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
26,1,,Eccube\\Entity\\Product,ProductImage,file_name,Product Image,26,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
27,1,,Eccube\\Entity\\Product,ProductCategories,category_id,Product Category (ID),27,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
28,1,,Eccube\\Entity\\Product,ProductCategories,Category,Product Category (Name),28,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
29,1,,Eccube\\Entity\\Product,ProductTag,tag_id,Tag (ID),29,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
