"id", "name", "description","sort_no","display_order_screen","discriminator_type"
1,"Distributor",,1,0,"tradelaw"
2,"Business Manager",,2,0,"tradelaw"
3,"Site information",,3,0,"tradelaw"
4,"Telephone",,4,0,"tradelaw"
5,"Mail Address",,5,0,"tradelaw"
6,"URL",,6,0,"tradelaw"
7,"Other fees",,7,0,"tradelaw"
8,"Date of delivery",,8,0,"tradelaw"
9,"Payment method",,9,0,"tradelaw"
10,"Regarding Returns and exchanges",,10,0,"tradelaw"
11,"",,11,0,"tradelaw"
12,"",,12,0,"tradelaw"
13,"",,13,0,"tradelaw"
14,"",,14,0,"tradelaw"
15,"",,15,0,"tradelaw"
