id,name,sort_no,discriminator_type
1,Hokkaido,1,pref
2,Aomori,2,pref
3,Iwate,3,pref
4,Miyagi,4,pref
5,Akita,5,pref
6,Yamagata,6,pref
7,Fukushima,7,pref
8,Ibaraki,8,pref
9,Tochigi,9,pref
10,Gunma,10,pref
11,Saitama,11,pref
12,Chiba,12,pref
13,Tokyo,13,pref
14,Kanagawa,14,pref
15,Niigata,15,pref
16,Toyama,16,pref
17,Ishikawa,17,pref
18,Fukui,18,pref
19,Yamanashi,19,pref
20,Nagano,20,pref
21,Gifu,21,pref
22,Shizuoka,22,pref
23,Aichi,23,pref
24,Mie,24,pref
25,Shiga,25,pref
26,Kyoto,26,pref
27,Osaka,27,pref
28,Hyōgo,28,pref
29,Nara,29,pref
30,Wakayama,30,pref
31,Tottori,31,pref
32,Shimane,32,pref
33,Okayama,33,pref
34,Hiroshima,34,pref
35,Yamaguchi,35,pref
36,Tokushima,36,pref
37,Kagawa,37,pref
38,Ehime,38,pref
39,Kōchi,39,pref
40,Fukuoka,40,pref
41,Saga,41,pref
42,Nagasaki,42,pref
43,Kumamoto,43,pref
44,Ōita,44,pref
45,Miyazaki,45,pref
46,Kagoshima,46,pref
47,Okinawa,47,pref
