id,name,sort_no,discriminator_type
"352","アイスランド","1","country"
"372","アイルランド","2","country"
"31","アゼルバイジャン","3","country"
"4","アフガニスタン","4","country"
"840","アメリカ合衆国","5","country"
"850","アメリカ領ヴァージン諸島","6","country"
"16","アメリカ領サモア","7","country"
"784","アラブ首長国連邦","8","country"
"12","アルジェリア","9","country"
"32","アルゼンチン","10","country"
"533","アルバ","11","country"
"8","アルバニア","12","country"
"51","アルメニア","13","country"
"660","アンギラ","14","country"
"24","アンゴラ","15","country"
"28","アンティグア・バーブーダ","16","country"
"20","アンドラ","17","country"
"887","イエメン","18","country"
"826","イギリス","19","country"
"86","イギリス領インド洋地域","20","country"
"92","イギリス領ヴァージン諸島","21","country"
"376","イスラエル","22","country"
"380","イタリア","23","country"
"368","イラク","24","country"
"364","イラン|イラン・イスラム共和国","25","country"
"356","インド","26","country"
"360","インドネシア","27","country"
"876","ウォリス・フツナ","28","country"
"800","ウガンダ","29","country"
"804","ウクライナ","30","country"
"860","ウズベキスタン","31","country"
"858","ウルグアイ","32","country"
"218","エクアドル","33","country"
"818","エジプト","34","country"
"233","エストニア","35","country"
"231","エチオピア","36","country"
"232","エリトリア","37","country"
"222","エルサルバドル","38","country"
"36","オーストラリア","39","country"
"40","オーストリア","40","country"
"248","オーランド諸島","41","country"
"512","オマーン","42","country"
"528","オランダ","43","country"
"288","ガーナ","44","country"
"132","カーボベルデ","45","country"
"831","ガーンジー","46","country"
"328","ガイアナ","47","country"
"398","カザフスタン","48","country"
"634","カタール","49","country"
"581","合衆国領有小離島","50","country"
"124","カナダ","51","country"
"266","ガボン","52","country"
"120","カメルーン","53","country"
"270","ガンビア","54","country"
"116","カンボジア","55","country"
"580","北マリアナ諸島","56","country"
"324","ギニア","57","country"
"624","ギニアビサウ","58","country"
"196","キプロス","59","country"
"192","キューバ","60","country"
"531","キュラソー島|キュラソー","61","country"
"300","ギリシャ","62","country"
"296","キリバス","63","country"
"417","キルギス","64","country"
"320","グアテマラ","65","country"
"312","グアドループ","66","country"
"316","グアム","67","country"
"414","クウェート","68","country"
"184","クック諸島","69","country"
"304","グリーンランド","70","country"
"162","クリスマス島 (オーストラリア)|クリスマス島","71","country"
"268","グルジア","72","country"
"308","グレナダ","73","country"
"191","クロアチア","74","country"
"136","ケイマン諸島","75","country"
"404","ケニア","76","country"
"384","コートジボワール","77","country"
"166","ココス諸島|ココス（キーリング）諸島","78","country"
"188","コスタリカ","79","country"
"174","コモロ","80","country"
"170","コロンビア","81","country"
"178","コンゴ共和国","82","country"
"180","コンゴ民主共和国","83","country"
"682","サウジアラビア","84","country"
"239","サウスジョージア・サウスサンドウィッチ諸島","85","country"
"882","サモア","86","country"
"678","サントメ・プリンシペ","87","country"
"652","サン・バルテルミー島|サン・バルテルミー","88","country"
"894","ザンビア","89","country"
"666","サンピエール島・ミクロン島","90","country"
"674","サンマリノ","91","country"
"663","サン・マルタン (西インド諸島)|サン・マルタン（フランス領）","92","country"
"694","シエラレオネ","93","country"
"262","ジブチ","94","country"
"292","ジブラルタル","95","country"
"832","ジャージー","96","country"
"388","ジャマイカ","97","country"
"760","シリア|シリア・アラブ共和国","98","country"
"702","シンガポール","99","country"
"534","シント・マールテン|シント・マールテン（オランダ領）","100","country"
"716","ジンバブエ","101","country"
