id,name,sort_no,discriminator_type
"352","IS","1","countryisocode"
"372","IE","2","countryisocode"
"31","AZ","3","countryisocode"
"4","AF","4","countryisocode"
"840","US","5","countryisocode"
"850","VI","6","countryisocode"
"16","AS","7","countryisocode"
"784","AE","8","countryisocode"
"12","DZ","9","countryisocode"
"32","AR","10","countryisocode"
"533","AW","11","countryisocode"
"8","AL","12","countryisocode"
"51","AM","13","countryisocode"
"660","AI","14","countryisocode"
"24","AO","15","countryisocode"
"28","AG","16","countryisocode"
"20","AD","17","countryisocode"
"887","YE","18","countryisocode"
"826","GB","19","countryisocode"
"86","IO","20","countryisocode"
"92","VG","21","countryisocode"
"376","IL","22","countryisocode"
"380","IT","23","countryisocode"
"368","IQ","24","countryisocode"
"364","IR","25","countryisocode"
"356","IN","26","countryisocode"
"360","ID","27","countryisocode"
"876","WF","28","countryisocode"
"800","UG","29","countryisocode"
"804","UA","30","countryisocode"
"860","UZ","31","countryisocode"
"858","UY","32","countryisocode"
"218","EC","33","countryisocode"
"818","EG","34","countryisocode"
"233","EE","35","countryisocode"
"231","ET","36","countryisocode"
"232","ER","37","countryisocode"
"222","SV","38","countryisocode"
"36","AU","39","countryisocode"
"40","AT","40","countryisocode"
"248","AX","41","countryisocode"
"512","OM","42","countryisocode"
"528","NL","43","countryisocode"
"288","GH","44","countryisocode"
"132","CV","45","countryisocode"
"831","GG","46","countryisocode"
"328","GY","47","countryisocode"
"398","KZ","48","countryisocode"
"634","QA","49","countryisocode"
"581","UM","50","countryisocode"
"124","CA","51","countryisocode"
"266","GA","52","countryisocode"
"120","CM","53","countryisocode"
"270","GM","54","countryisocode"
"116","KH","55","countryisocode"
"580","MP","56","countryisocode"
"324","GN","57","countryisocode"
"624","GW","58","countryisocode"
"196","CY","59","countryisocode"
"192","CU","60","countryisocode"
"531","CW","61","countryisocode"
"300","GR","62","countryisocode"
"296","KI","63","countryisocode"
"417","KG","64","countryisocode"
"320","GT","65","countryisocode"
"312","GP","66","countryisocode"
"316","GU","67","countryisocode"
"414","KW","68","countryisocode"
"184","CK","69","countryisocode"
"304","GL","70","countryisocode"
"162","CX","71","countryisocode"
"268","GE","72","countryisocode"
"308","GD","73","countryisocode"
"191","HR","74","countryisocode"
"136","KY","75","countryisocode"
"404","KE","76","countryisocode"
"384","CI","77","countryisocode"
"166","CC","78","countryisocode"
"188","CR","79","countryisocode"
"174","KM","80","countryisocode"
"170","CO","81","countryisocode"
"178","CG","82","countryisocode"
"180","CD","83","countryisocode"
"682","SA","84","countryisocode"
"239","GS","85","countryisocode"
"882","WS","86","countryisocode"
"678","ST","87","countryisocode"
"652","BL","88","countryisocode"
"894","ZM","89","countryisocode"
"666","PM","90","countryisocode"
"674","SM","91","countryisocode"
"663","MF","92","countryisocode"
"694","SL","93","countryisocode"
"262","DJ","94","countryisocode"
"292","GI","95","countryisocode"
"832","JE","96","countryisocode"
"388","JM","97","countryisocode"
"760","SY","98","countryisocode"
"702","SG","99","countryisocode"
"534","SX","100","countryisocode"
"716","ZW","101","countryisocode"
"756","CH","102","countryisocode"
"752","SE","103","countryisocode"
"729","SD","104","countryisocode"
"744","SJ","105","countryisocode"
"724","ES","106","countryisocode"
"740","SR","107","countryisocode"
"144","LK","108","countryisocode"
"703","SK","109","countryisocode"
"705","SI","110","countryisocode"
